Name,Symbol,CNMMN/CNMNC approved formula (unless marked in blue),IMA Status,Kretz (1998),Siivolam & Schmid (2007),Whitney & Evans (2010),Can. Min. (2019),Warr (2020),Symbol rule (1-4),Notes,new/adopted symbol,,blue formula taken from publlished literature,,
Alfredstelznerite,Asz,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,A,,,,,,3,,new symbol,,,,
Algodonite,Ago,Cu1-xAsx (x ≈ 0.15),G,,,,Alg,,2,,new symbol,,,,
Alicewilsonite-(YCe),Aws-YCe,Na2Sr2YCe(CO3)6·3H2O,A,,,,,,3,,new symbol,,,,
Aliettite,Ali,"Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O",Rd,,,,,Ali,1,, adopted symbol,,,,
Alkali feldspar,Afs,XAl(1-2) Si(3-2) O8 . X is Na or K (1),GROUP,Afs,Afs,Afs,,,3,, adopted symbol,,,,
Allabogdanite,Abg,"(Fe,Ni)2P",A,,,,,,2,,new symbol,,,,
Allactite,Ala,Mn2+7(AsO4)2(OH)8,A,,,,All,,2,,new symbol,,,,
Allanite-(Ce),Aln-Ce,CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH),Rn,Aln,Aln,Aln,Aln,,3,, adopted symbol,,,,
Allanite-(La),Aln-La,CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH),A,Aln,Aln,Aln,Aln,,3,, adopted symbol,,,,
Allanite-(Nd),Aln-Nd,CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH),A,Aln,Aln,Aln,Aln,,3,, adopted symbol,,,,
Allanite-(Y),Aln-Y,CaY(Al2Fe2+)[Si2O7][SiO4]O(OH),Rn,,,,,,3,, adopted symbol,,,,
Allanpringite,Apg,Fe3+3(PO4)2(OH)3·5H2O,A,,,,,,3,,new symbol,,,,
Allantoin,Aan,C4H6N4O3,,,,,,,2,,new symbol,,,,
Allargentum,All,Ag1-xSbx (x ≈ 0.09-0.16),Rd,,,,,,1,,new symbol,,,,
Alleghanyite,Alh,Mn2+5(SiO4)2(OH)2,G,,,,,,2,,new symbol,,,,
Allendeite,Aed,Sc4Zr3O12,A,,,,,,2,,new symbol,,,,
Allochalcoselite,Acc,Cu1+Cu2+5PbO2(SeO3)2Cl5,A,,,,,,3,,new symbol,,,,
Alloclasite,Acl,CoAsS,G,,,,Alo,,2,,new symbol,,,,
Allophane,Alp,Al2O3(SiO2)1.3-2.0·2.5-3.0H2O,G,,,,,Alp,3,, adopted symbol,,,,
Alloriite,Aor,"(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4  (SO3,CO3)2(OH,Cl)2(H2O,OH)4",A,,,,,,2,,new symbol,,,,
Alluaivite,Aav,"Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O",A,,,,,,2,,new symbol,,,,
Alluaudite,Ald,"(Na,Ca)(Mn,Mg,Fe2+)(Fe3+,Mn2+)2(PO4)3",Rd,,,,Ald,,3,, adopted symbol,,,,
Almandine,Alm,Fe2+3Al2(SiO4)3,G,Alm,Alm,Alm,Alm,,1,, adopted symbol,,,,
Almarudite,Alr,"K(܆,Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30",A,,,,Alr,,2,, adopted symbol,,,,
Almeidaite,Amd,"PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2",A,,,,,,3,,new symbol,,,,
Alnaperbøeite-(Ce),Apbø-Ce,(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2,A,,,,,,4,Pbø = perbøeite,new symbol,,,,
Alpeite,Apt,Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6,A,,,,,,3,,new symbol,,,,
Alpersite,Aps,Mg(SO4)·7H2O,A,,,,,,3,,new symbol,,,,
Alsakharovite-Zn,Ask-Zn,"NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O",A,,,,,,3,,new symbol,,,,
Alstonite,Asn,BaCa(CO3)2,G,,,,Als,,3,,new symbol,,,,
Altaite,Alt,PbTe,G,,,,Alt,,1,, adopted symbol,,,,
Alterite ,Atr,Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O,A,,,,,,3,,new symbol,,,,
Althausite,Ahs,"Mg4(PO4)2(OH,O)(F,܆)",A,,,,,,3,,new symbol,,,,
Althupite,Ahp,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,A,,,,,,3,,new symbol,,,,
Altisite,Ati,Na3K6Ti2Al2Si8O26Cl3,A,,,,,,2,,new symbol,,,,
Alum-(K),Aum-K,KAl(SO4)2·12H2O,Rn,,,,,,2,,new symbol,,,,
Alum-(Na),Aum-Na,NaAl(SO4)2·12H2O,Rn,,,,,,2,,new symbol,,,,
Aluminite,A,Al2(SO4)(OH)4·7H2O,G,,,,,,1,,new symbol,,,,
Aluminium,Al,Al,A,,,,,,1,, adopted symbol,,,,
Aluminoceladonite,Acel,"K(Mg,Fe2+)Al(Si4O10)(OH)2",A,,,,,Acel,4,Cel = celadonite, adopted symbol,,,,
Aluminocerite-(Ce),Acrt-Ce,"(Ce,REE,Ca)9(Al,Fe3+)(SiO4)3[SiO3(OH)]4(OH)3",A,,,,,,4,Crt = cerite,new symbol,,,,
Aluminocopiapite,Acpi,"(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O",G,,,,,,4,Cpi = copiapite,new symbol,,,,
Aluminocoquimbite,Acoq,Al2Fe3+2(SO4)6(H2O)12·6H2O,A,,,,,,4,Coq = coquimbite,new symbol,,,,
Aluminomagnesiohulsite,Amhul,Mg2AlO2(BO3),Rn,,,,,,4,Hul = hulsite,new symbol,,,,
Alumino-oxy-rossmanite,Aorsm,Al3Al6(Si5AlO18)(BO3)3(OH)3O,A,,,,,,2,Rsm = rossmanite,new symbol,,,,
Aluminopyracmonite,Apyr,(NH4)3Al(SO4)3,A,,,,,,4,Pyr = pyracmonite,new symbol,,,,
Aluminosilicate,Als,Al2SiO5 polymorphs,GROUP,,Als,Als,,,2,, adopted symbol,,,,
Aluminosugilite,Asug,KNa2Al2Li3Si12O30,A,,,,,,4,Sug = sugilite,new symbol,,,,
Alumoåkermanite,Aåk,"(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)",A,,,,,,4,Ak = åkermanite,new symbol,,,,
Alumoedtollite,Aedt,K2NaCu5AlO2(AsO4)4,A,,,,,,4,Edt = edtollite,new symbol,,,,
Alumohydrocalcite,Ahcal,CaAl2(CO3)2(OH)4·4H2O,A,,,,,,4,Cal = calcite,new symbol,,,,
Alumoklyuchevskite,Akyv,K3Cu2+3AlO2(SO4)4,A,,,,,,4,Kyv = klyuchevskite,new symbol,,,,
