Point,Comment,Inspected,SiO2(Mass%),MgO(Mass%),Al2O3(Mass%),MnO(Mass%),FeO(Mass%),TiO2(Mass%),CaO(Mass%),Cr2O3(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),NiO(Mass%),Total(Mass%),SiO2(Norm%),MgO(Norm%),Al2O3(Norm%),MnO(Norm%),FeO(Norm%),TiO2(Norm%),CaO(Norm%),Cr2O3(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),NiO(Norm%),Total(Norm%),SiO2(Cation),MgO(Cation),Al2O3(Cation),MnO(Cation),FeO(Cation),TiO2(Cation),CaO(Cation),Cr2O3(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),NiO(Cation),Total(Cation),SiO2(mole%),MgO(mole%),Al2O3(mole%),MnO(mole%),FeO(mole%),TiO2(mole%),CaO(mole%),Cr2O3(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),NiO(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),MgO(K-ratio),Al2O3(K-ratio),MnO(K-ratio),FeO(K-ratio),TiO2(K-ratio),CaO(K-ratio),Cr2O3(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),NiO(K-ratio),Total(K-ratio),SiO2(K-raw),MgO(K-raw),Al2O3(K-raw),MnO(K-raw),FeO(K-raw),TiO2(K-raw),CaO(K-raw),Cr2O3(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),NiO(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),K(Net),Ca(Net),Ti(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Cr(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),K(BG-),Ca(BG-),Ti(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Cr(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),K(BG+),Ca(BG+),Ti(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Cr(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),K(L-value),Ca(L-value),Ti(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Cr(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),K(Error%),Ca(Error%),Ti(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Cr(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),K(D.L.),Ca(D.L.),Ti(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.),Cr(D.L.), ,Bi(Net),Ar(Net),Br(Net),As(Net)
255,GY0162_5_1 Grid 003x005,GY0162_5_1 Grid 003x005,41.35,19.78,17.83,0.3308,6.96,0.5843,5.46,6.94,0.0424,0,0.0169,0.0116,99.306,41.639,19.9182,17.9546,0.3331,7.0086,0.5884,5.4982,6.9885,0.0427,0,0.017,0.0117,100,6.019,4.292,3.06,0.0408,0.848,0.064,0.852,0.799,0.012,0,0.0021,0.0014,15.9903,42.8337,30.544,10.8851,0.2903,6.0297,0.4552,6.0603,2.842,0.0426,0,0.0074,0.0097,100,-24.0962,-17.8683,10.3325,37.9891,17.123,15.4318,0.314,6.188,0.5388,5.5232,6.305,0.038,0,0.0132,0.0103,89.4744,58.743,17.123,82.259,0.7582,6.877,0.5389,21.465,6.305,0.3274,0,0.0314,0.0223,194.4502,165.1,137570.4,139468.4,329630.9,-13.2,141586.2,12575,50.7,59.9,32900.7,1381.6,22598.7,730.3,1560.5,2559.2,4921.7,1723,2296.7,3739.5,221.7,1328.9,871,615.1,466.5,545.4,1005.9,1588.8,2840.8,1477,2214.5,3295.4,182.2,1181.6,706.6,480.3,368.4,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152,13.89,0.16,0.16,0.11,100,0.16,0.67,25.36,51.41,0.34,2.18,0.41,194.85,50,38,43,61,14,16,22,32,52,45,45,49,467,993.4,1328.3,720.4,965.8
256,GY0162_5_1 Grid 004x001,GY0162_5_1 Grid 004x001,41.32,19.81,17.85,0.3379,7,0.5826,5.48,6.84,0.0464,0.0025,0.0238,0.0081,99.3013,41.6107,19.9494,17.9756,0.3403,7.0493,0.5867,5.5186,6.8881,0.0467,0.0025,0.024,0.0082,100,6.016,4.301,3.063,0.0417,0.852,0.0638,0.855,0.787,0.0131,0.0005,0.0029,0.001,15.997,42.7795,30.5738,10.8915,0.2963,6.0611,0.4536,6.0793,2.7996,0.0466,0.0017,0.0104,0.0067,100,-24.0949,-17.8735,10.3325,37.9529,17.155,15.4417,0.3208,6.2204,0.5371,5.5415,6.208,0.0416,0.0026,0.0187,0.0072,89.4474,58.687,17.155,82.312,0.7744,6.913,0.5372,21.536,6.208,0.3588,0.0212,0.0444,0.0156,194.5626,181,137829.5,139558.3,329314.7,64.5,142056,12533.9,71.8,41.5,33073.7,1410.8,22250.8,786.7,1569.4,2483.2,4919,1703.8,2319.9,3693.2,198.2,1318,809.1,609.6,449,506.9,1072.4,1634,2899.9,1425.9,2142.2,3375.3,186.3,1171.2,749.2,469.4,375.3,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.9,12.82,0.16,0.16,0.11,53.06,0.16,0.68,18.02,72.93,0.34,2.14,0.41,160.99,50,39,43,62,14,16,22,31,52,45,45,48,467,1009.2,1309.4,721.5,967.1
257,GY0162_5_1 Grid 004x002,GY0162_5_1 Grid 004x002,41.29,19.85,17.81,0.3201,6.98,0.5777,5.51,6.94,0.043,0.0021,0.0213,0.0099,99.3541,41.5584,19.979,17.9258,0.3222,7.0254,0.5815,5.5458,6.9851,0.0433,0.0021,0.0214,0.01,100,6.011,4.307,3.056,0.0395,0.85,0.0633,0.859,0.799,0.0121,0.0004,0.0026,0.0012,16.0011,42.7312,30.6231,10.8627,0.2806,6.0413,0.4496,6.1101,2.8393,0.0431,0.0014,0.0093,0.0082,100,-24.0949,-17.8722,10.3325,37.9322,17.179,15.4031,0.3039,6.2042,0.5327,5.5695,6.304,0.0385,0.0021,0.0167,0.0087,89.4947,58.655,17.179,82.106,0.7337,6.895,0.5328,21.645,6.304,0.3322,0.0174,0.0396,0.019,194.4587,168,138021.1,139208.8,329136.4,52.7,142776,12431.5,63.9,50.7,32983.5,1336.6,22593.5,764.2,1558.6,2522.4,4957.8,1686.4,2352.4,3718.1,199.6,1380.8,803.7,664,462.5,520.4,1108.7,1628.5,2880.8,1423.6,2144.3,3382.7,172.6,1121.9,721.3,484.2,359.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.8,13.75,0.16,0.16,0.11,64.51,0.16,0.68,19.74,60.06,0.34,2.26,0.41,162.34,50,39,43,62,13,16,22,31,52,44,47,48,467,999.3,1339.9,726.6,978.3
258,GY0162_5_1 Grid 004x003,GY0162_5_1 Grid 004x003,41.4,19.81,17.76,0.3243,6.94,0.5726,5.49,6.93,0.0413,0.0005,0.026,0.011,99.3057,41.6894,19.9485,17.8842,0.3266,6.9885,0.5766,5.5284,6.9785,0.0416,0.0005,0.0262,0.0111,100,6.026,4.299,3.047,0.04,0.844,0.0627,0.857,0.798,0.0117,0.0001,0.0032,0.0013,15.99,42.8619,30.5735,10.8364,0.2844,6.009,0.4458,6.0903,2.8364,0.0415,0.0003,0.0114,0.0092,100,-24.0949,-17.8709,10.3325,38.0473,17.155,15.3695,0.3078,6.1646,0.5279,5.5536,6.297,0.037,0.0005,0.0205,0.0097,89.4904,58.833,17.155,81.927,0.7431,6.851,0.528,21.583,6.297,0.3191,0.0045,0.0485,0.0211,194.3103,161.4,137832.7,138905.1,330135.1,13.8,142368.9,12319.5,78.4,56.7,32773.4,1353.8,22570.5,790.5,1496.7,2535.6,4921.6,1677.2,2378.1,3737.8,188.4,1352.4,805,678.5,462.5,539.5,1076.4,1648.2,2899.2,1462.4,2180.5,3418.3,179.2,1164,710.1,481.5,362.3,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.8,14.5,0.16,0.16,0.11,250.7,0.16,0.69,16.31,54.41,0.34,2.24,0.41,340.19,51,38,43,62,14,16,22,30,52,44,47,48,467,990.8,1319.5,712.1,955.2
259,GY0162_5_1 Grid 004x004,GY0162_5_1 Grid 004x004,41.43,19.84,17.86,0.324,7.03,0.5746,5.48,6.93,0.0621,0,0.0191,0.0097,99.5595,41.6133,19.9278,17.939,0.3254,7.0611,0.5771,5.5042,6.9607,0.0624,0,0.0192,0.0097,100,6.018,4.296,3.058,0.0399,0.854,0.0628,0.852,0.796,0.0175,0,0.0024,0.0011,15.9977,42.7975,30.5516,10.8732,0.2835,6.0734,0.4464,6.0657,2.8301,0.0622,0,0.0084,0.0081,100,-24.0949,-17.8696,10.3325,38.0673,17.171,15.4513,0.3075,6.2474,0.5299,5.5356,6.291,0.0556,0,0.015,0.0086,89.6802,58.864,17.171,82.363,0.7425,6.943,0.53,21.513,6.291,0.4794,0,0.0356,0.0186,194.9511,241.8,137954.5,139644.3,330309,-50.7,141901.2,12365,57.3,50.1,33216.7,1352.4,22549.4,722,1534.9,2492.8,4917,1706.2,2328.7,3754.9,226,1370.9,834,648.9,465.1,480.2,1069.2,1673.3,2827.4,1469,2161.4,3407.8,170,1148.2,689.1,512.5,361.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.8,9.5,0.16,0.16,0.11,100,0.16,0.68,22.42,61.57,0.34,2.24,0.41,197.75,48,38,43,61,14,16,22,31,52,44,47,49,465,977.6,1328.7,728.6,965.7
260,GY0162_5_1 Grid 004x005,GY0162_5_1 Grid 004x005,41.54,19.93,17.83,0.3399,6.95,0.5798,5.48,6.93,0.0464,0.0036,0.0252,0.0161,99.671,41.6771,19.9958,17.8889,0.341,6.9729,0.5817,5.4981,6.9529,0.0466,0.0036,0.0253,0.0162,100,6.023,4.309,3.048,0.0418,0.843,0.0632,0.852,0.795,0.013,0.0007,0.0031,0.0019,15.9937,42.8351,30.6359,10.8357,0.2969,5.9937,0.4496,6.0549,2.825,0.0464,0.0024,0.011,0.0134,100,-24.0949,-17.8683,10.3325,38.1734,17.261,15.429,0.3226,6.1808,0.5346,5.5405,6.296,0.0416,0.0037,0.0198,0.0143,89.8172,59.028,17.261,82.244,0.7789,6.869,0.5347,21.532,6.296,0.3586,0.0302,0.0469,0.031,195.0103,181.3,138681.6,139443,331232,91.6,142032.3,12476.6,75.8,83.1,32859.6,1418.6,22566.9,755.4,1483.8,2549.1,4932.1,1659.9,2448.3,3646.7,197.8,1334.2,826.6,666.5,483.2,541.9,1071.2,1685.6,2930.8,1460.1,2201.7,3280.2,170.1,1126.6,710.6,487.8,381,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.7,12.86,0.16,0.16,0.11,37.43,0.16,0.68,16.81,36.86,0.34,2.16,0.41,108.14,50,38,44,62,13,16,22,30,52,45,47,50,469,1003.3,1332.2,726.4,963.7
261,GY0162_5_1 Grid 005x001,GY0162_5_1 Grid 005x001,41.48,19.92,17.8,0.3266,6.96,0.5787,5.47,6.91,0.0514,0.0002,0.0273,0.0094,99.5336,41.6744,20.0133,17.8834,0.3281,6.9926,0.5814,5.4956,6.9424,0.0516,0.0002,0.0274,0.0094,100,6.024,4.312,3.046,0.0402,0.845,0.0632,0.852,0.794,0.0145,0,0.0034,0.0011,15.9954,42.8248,30.6574,10.8305,0.2856,6.0095,0.4493,6.0512,2.8203,0.0514,0.0001,0.0119,0.0078,100,-24.0936,-17.8735,10.3325,38.1158,17.247,15.3941,0.31,6.1844,0.5335,5.5338,6.277,0.046,0.0002,0.0214,0.0083,89.6716,58.939,17.247,82.058,0.7485,6.873,0.5336,21.506,6.277,0.397,0.0018,0.0508,0.018,194.6497,200.4,138572.2,139128.6,330731.1,5.3,141857,12448.9,81.7,48.1,32881.4,1363.2,22497,714.6,1502.3,2497,4901.1,1714.6,2413.3,3687.5,202.4,1334.9,846.4,665.8,480.5,534.6,1079.1,1614.4,2839.2,1493.1,2222.8,3304.6,166.8,1181.3,705.3,486.5,383.6,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,151.7,11.5,0.16,0.16,0.11,624.33,0.16,0.68,15.67,63.84,0.34,2.23,0.41,719.59,49,38,43,61,14,16,22,30,52,45,47,50,467,1009.2,1334.9,726.4,974.3
262,GY0162_5_1 Grid 005x002,GY0162_5_1 Grid 005x002,41.24,19.75,17.77,0.3238,6.91,0.5802,5.44,6.88,0.0477,0.0007,0.0273,0.0055,98.9752,41.667,19.9545,17.954,0.3272,6.9815,0.5862,5.4963,6.9512,0.0482,0.0007,0.0276,0.0056,100,6.022,4.298,3.059,0.04,0.844,0.0637,0.851,0.794,0.0135,0.0001,0.0034,0.0006,15.9893,42.8445,30.5867,10.8802,0.2849,6.0038,0.4533,6.0558,2.8257,0.048,0.0005,0.012,0.0046,100,-24.0936,-17.8722,10.3325,37.8843,17.1,15.3783,0.3073,6.1448,0.5349,5.5006,6.247,0.0428,0.0007,0.0215,0.0048,89.1671,58.581,17.1,81.974,0.7419,6.829,0.535,21.377,6.247,0.3689,0.0059,0.0509,0.0105,193.8211,186.2,137387.5,138985.6,328722.6,17.7,141008.5,12482,82.6,28.2,32667.5,1351.5,22389.5,720,1573.8,2464.3,4891.1,1712.8,2367.2,3762.6,178.4,1345.6,876.1,665.6,445.9,504.3,1114.8,1605.9,2863.6,1398.7,2113.4,3267.5,179,1194.8,699.7,465.6,374.4,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,12.17,0.16,0.16,0.11,189.07,0.16,0.67,15.38,108.98,0.34,2.22,0.41,329.83,49,39,43,61,13,16,22,30,52,45,46,48,464,1000,1329.2,718.7,954.1
263,GY0162_5_1 Grid 005x003,GY0162_5_1 Grid 005x003,41.3,19.84,17.83,0.3225,6.97,0.5723,5.47,6.9,0.0486,0.0005,0.0236,0.0206,99.2981,41.5919,19.9802,17.956,0.3248,7.0193,0.5763,5.5087,6.9488,0.0489,0.0005,0.0238,0.0207,100,6.013,4.306,3.06,0.0398,0.849,0.0627,0.854,0.794,0.0137,0.0001,0.0029,0.0024,15.9976,42.7628,30.623,10.8803,0.2829,6.0357,0.4457,6.0687,2.8244,0.0488,0.0003,0.0103,0.0172,100,-24.0936,-17.8709,10.3325,37.9374,17.177,15.4262,0.3061,6.1988,0.5277,5.5304,6.267,0.0435,0.0005,0.0186,0.0182,89.4514,58.663,17.177,82.229,0.7391,6.889,0.5278,21.493,6.267,0.3754,0.0039,0.044,0.0397,194.4479,189.5,138006.6,139418.4,329181.7,11.8,141775.1,12315.4,70.8,106.2,32954.1,1346.2,22461.6,742.3,1501,2461.6,4871.5,1681.3,2414.4,3751.5,198.7,1295.1,820.3,638,452.5,522,1045.9,1642,2847.9,1512.1,2180.3,3339.7,168.5,1150.8,748.2,495.7,378.4,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,12.14,0.16,0.16,0.11,292.95,0.16,0.68,17.79,28.74,0.34,2.23,0.41,355.87,49,38,43,61,14,16,22,30,51,45,46,49,464,992.8,1319.3,726.6,967.9
264,GY0162_5_1 Grid 005x004,GY0162_5_1 Grid 005x004,41.34,19.82,17.77,0.3322,6.88,0.5749,5.48,6.9,0.0576,0,0.0214,0.0147,99.1908,41.6773,19.9817,17.915,0.3349,6.9361,0.5796,5.5247,6.9563,0.0581,0,0.0216,0.0148,100,6.023,4.305,3.053,0.041,0.839,0.063,0.856,0.794,0.0163,0,0.0026,0.0017,15.9946,42.8383,30.6165,10.8523,0.2916,5.9625,0.448,6.0847,2.8266,0.0579,0,0.0094,0.0123,100,-24.0936,-17.8696,10.3325,37.9775,17.162,15.377,0.3153,6.1169,0.53,5.5402,6.261,0.0516,0,0.0168,0.013,89.3613,58.725,17.162,81.967,0.7611,6.798,0.5301,21.531,6.261,0.4452,0,0.0399,0.0282,194.2485,224.8,137886,138972.5,329528.2,-3.9,142026.2,12367.6,64.2,75.4,32521,1386.6,22441,744.4,1533.4,2530.1,4849.3,1732,2316.5,3756.2,192,1321.8,848.6,669.7,458.1,511.1,1050.5,1640.2,2901.1,1456.1,2185.4,3448.2,198.6,1165.1,694,473.1,365,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.6,10.33,0.16,0.16,0.11,100,0.16,0.68,19.98,40.51,0.34,2.19,0.41,175.03,49,38,43,61,14,16,22,31,52,45,46,48,465,988.2,1327,729.4,970.5
265,GY0162_5_1 Grid 005x005,GY0162_5_1 Grid 005x005,41.32,19.76,17.8,0.3278,6.93,0.5798,5.48,6.93,0.0587,0.0013,0.0176,0.0036,99.2088,41.6495,19.9176,17.942,0.3304,6.9853,0.5844,5.5237,6.9853,0.0592,0.0013,0.0177,0.0036,100,6.02,4.292,3.058,0.0405,0.845,0.0635,0.856,0.799,0.0166,0.0002,0.0022,0.0004,15.9934,42.8384,30.5386,10.8759,0.2879,6.0087,0.4521,6.0876,2.8403,0.059,0.0009,0.0077,0.003,100,-24.0936,-17.8683,10.3325,37.9639,17.107,15.4068,0.3111,6.161,0.5346,5.5415,6.296,0.0526,0.0013,0.0138,0.0032,89.3928,58.704,17.107,82.126,0.7511,6.847,0.5347,21.536,6.296,0.4534,0.0106,0.0327,0.007,194.4055,228.9,137442.6,139242.6,329409.8,32.1,142056.4,12474.8,53.1,18.4,32756.7,1368.5,22564.6,696.4,1493.1,2524.6,5048.5,1684.6,2418.4,3785.6,229.5,1379,893.8,613.1,449.8,542.3,1085.9,1611.8,2827.5,1460.3,2182.3,3427.5,167.9,1167.2,722,472.1,373.1,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,10.1,0.16,0.16,0.11,106.05,0.16,0.68,24.23,164.46,0.34,2.18,0.41,309.04,49,38,43,62,14,16,22,31,52,46,45,48,466,990.2,1329.2,736.4,969.8
266,dr9 Line 001,dr9 Line 001,41.28,19.97,18.93,0.4763,7.71,0.0138,4.15,6.88,0.0224,0,0.0007,0,99.4332,41.5153,20.0838,19.0379,0.479,7.7539,0.0139,4.1737,6.9192,0.0225,0,0.0007,0,100,5.993,4.322,3.24,0.0586,0.936,0.0015,0.645,0.79,0.0063,0,0.0001,0,15.9925,42.8856,30.9271,11.5903,0.4191,6.6989,0.0108,4.6197,2.8257,0.0226,0,0.0003,0,100,26.6096,-26.854,10.361,37.7194,17.281,16.3612,0.4525,6.8575,0.0128,4.1891,6.273,0.0201,0,0.0005,0,89.1671,58.326,17.281,87.213,1.0926,7.621,0.0128,16.28,6.273,0.173,0,0.0013,0,194.2737,87.1,138840.9,147867.1,327291.4,-60.3,107387,298.6,2,-11.8,36459.1,1990.2,22482,700.1,1558,2478.1,4952.9,1789.1,2262.6,3614.3,210.9,1323.5,821.2,597.9,411.3,510.1,1087.1,1563.8,2871.6,1496.4,2197.1,3419.1,177.5,1163.7,749.2,495.1,354.3,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.7,24.88,0.16,0.16,0.11,100,0.19,17.3,546.18,100,0.32,1.68,0.41,791.39,48,39,42,61,14,16,22,31,52,45,45,47,462,1117.9,1405.4,814.7,1022.9
267,dr9 Line 002,dr9 Line 002,41.49,19.94,19.02,0.4821,7.68,0.015,4.15,6.84,0.0208,0.0019,0.0077,0.0012,99.6487,41.6363,20.0103,19.0871,0.4838,7.7071,0.0151,4.1646,6.8641,0.0209,0.0019,0.0077,0.0012,100,6.006,4.304,3.246,0.0591,0.93,0.0016,0.644,0.783,0.0058,0.0004,0.0009,0.0001,15.9809,43.0203,30.8208,11.6228,0.4234,6.6599,0.0117,4.6108,2.8038,0.0209,0.0013,0.0034,0.001,100,26.6109,-26.854,10.361,37.9244,17.269,16.4501,0.458,6.8359,0.0139,4.1921,6.23,0.0187,0.0019,0.006,0.0011,89.4011,58.643,17.269,87.687,1.1058,7.597,0.0139,16.292,6.23,0.1609,0.016,0.0142,0.0023,195.0311,81.3,138744.4,148671,329068.8,48.5,107462.7,323.7,22.9,5.9,36342.1,2014.4,22327,684.8,1574.1,2458.7,4765.4,1745.1,2379.4,3729.4,211,1381.4,851.9,621.9,430.5,507.9,1049.2,1664.5,2886.6,1428.6,2140.2,3407.6,146.1,1118.6,745.1,503.9,340.1,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.6,26.51,0.16,0.16,0.11,70.69,0.19,16.1,51.31,488.13,0.32,1.68,0.41,655.77,48,38,43,61,14,16,22,30,52,45,46,47,462,1133,1417.4,808.7,1029.5
268,dr9 Line 003,dr9 Line 003,41.42,20,18.99,0.4804,7.69,0.0173,4.15,6.9,0.0222,0.0016,0.0128,0.0053,99.6896,41.549,20.0623,19.0491,0.4819,7.7139,0.0174,4.1629,6.9215,0.0223,0.0016,0.0128,0.0053,100,5.997,4.317,3.241,0.0589,0.93,0.0019,0.643,0.79,0.0062,0.0003,0.0016,0.0006,15.9875,42.9295,30.9005,11.5996,0.4218,6.6657,0.0135,4.6088,2.8272,0.0223,0.0011,0.0056,0.0044,100,26.6122,-26.854,10.361,37.8623,17.319,16.4165,0.4564,6.8368,0.016,4.1901,6.286,0.0198,0.0016,0.01,0.0047,89.4192,58.547,17.319,87.508,1.1019,7.598,0.016,16.284,6.286,0.1711,0.0133,0.0237,0.0102,194.8782,86.6,139151.5,148368.5,328531.2,40.7,107415.7,372.5,38,27.5,36346.2,2007.2,22530.5,731.8,1554.1,2536.4,4872.1,1712.8,2315.4,3712.8,195.4,1339,848.5,621,461,493.1,1030.2,1590.2,2941.6,1460.3,2165.3,3399.3,150.2,1169.2,721.3,480,377.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,25.31,0.16,0.16,0.11,84.56,0.19,14.01,30.9,111.17,0.32,1.68,0.41,268.98,49,38,43,61,14,16,22,29,52,45,46,49,464,1110.8,1382.9,805.3,1014.4
269,dr9 Line 004,dr9 Line 004,41.54,19.96,19.01,0.4944,7.71,0.0185,4.15,6.86,0.008,0.0031,0.0154,0,99.7694,41.636,20.0061,19.0539,0.4955,7.7278,0.0185,4.1596,6.8759,0.008,0.0031,0.0154,0,100,6.007,4.303,3.24,0.0606,0.932,0.002,0.643,0.784,0.0023,0.0006,0.0019,0,15.9764,43.0228,30.8164,11.6034,0.4337,6.6782,0.0144,4.6055,2.8088,0.008,0.002,0.0068,0,100,26.6135,-26.854,10.361,37.9794,17.286,16.4407,0.4697,6.8584,0.0171,4.1932,6.252,0.0072,0.0032,0.0121,0,89.5189,58.728,17.286,87.637,1.1341,7.622,0.0171,16.296,6.252,0.0621,0.026,0.0286,0,195.0889,31.5,138880,148586.9,329544.9,78.7,107493.1,398.7,46.6,-8.5,36461.6,2066.2,22407.2,760,1483.3,2569.8,4864.9,1692.5,2262.3,3733.8,196.7,1346.2,803.9,663,423,519.3,1051.2,1627.5,2924.6,1468.2,2146.2,3329.8,160,1196.1,723.9,474.1,366.6,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,69.74,0.16,0.16,0.11,43.62,0.19,13.05,26.2,100,0.32,1.65,0.41,255.61,50,38,43,61,14,16,22,30,52,44,46,47,463,1125.9,1396.7,801.3,1015.7
270,dr9 Line 005,dr9 Line 005,41.47,20.01,19.08,0.497,7.68,0.0164,4.15,6.82,0.0154,0,0.013,0.0007,99.7525,41.5729,20.0596,19.1273,0.4982,7.6991,0.0164,4.1603,6.8369,0.0154,0,0.013,0.0007,100,5.997,4.313,3.253,0.0609,0.929,0.0018,0.644,0.78,0.0043,0,0.0016,0.0001,15.9847,42.9457,30.8903,11.6449,0.436,6.6515,0.0128,4.605,2.7921,0.0155,0,0.0057,0.0006,100,26.6148,-26.854,10.361,37.9037,17.327,16.4989,0.4721,6.8341,0.0152,4.195,6.218,0.0138,0,0.0102,0.0006,89.4886,58.611,17.327,87.947,1.1399,7.595,0.0152,16.303,6.218,0.1191,0,0.0241,0.0014,195.3007,60.3,139213.8,149112.1,328889.2,-15.7,107538.4,354.1,38.7,3.9,36336.4,2076.7,22284.6,708.2,1518.7,2501,4884.6,1712.8,2355.4,3707.5,182.3,1295.1,848.5,623.6,443.9,551.5,1090.5,1640.7,2927.9,1468.2,2152.8,3372.5,171.1,1199.3,754.8,486.6,351.5,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,36.47,0.16,0.16,0.11,100,0.19,14.68,30.67,827.75,0.32,1.64,0.41,1012.56,49,38,43,61,14,16,22,30,52,45,46,47,463,1115.4,1429.5,804.6,1019.7
271,GY0162_6_1 Grid 001x001,GY0162_6_1 Grid 001x001,41.55,20.16,17.82,0.3197,6.17,0.2674,5.73,7.67,0.0101,0,0.0333,0.0171,99.7476,41.6551,20.211,17.8651,0.3205,6.1856,0.2681,5.7445,7.6894,0.0101,0,0.0334,0.0171,100,6.014,4.349,3.04,0.0392,0.747,0.0291,0.889,0.877,0.0028,0,0.0041,0.002,15.9932,42.8588,30.9991,10.833,0.2793,5.3227,0.2074,6.3331,3.1277,0.0101,0,0.0145,0.0142,100,-22.2637,-18.6366,10.3325,38.196,17.502,15.4219,0.3033,5.4808,0.2465,5.7944,6.947,0.009,0,0.0262,0.0151,89.9422,59.063,17.502,82.206,0.7323,6.091,0.2465,22.519,6.947,0.078,0,0.062,0.0329,195.4797,39.3,140616.4,139379,331426.3,-0.7,148541,5752.1,100.3,87.9,29138.4,1334.4,24899.7,775.1,1518,2545.6,4926.6,1663.6,2281.3,3694.4,237.4,1266.9,827.5,617,455.7,556.7,1053.1,1646.6,2935.7,1458.4,2116.7,3339.7,175.1,1123.9,670.8,482,375.7,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,56.8,0.16,0.16,0.11,100,0.16,1.19,13.64,34.2,0.36,2.23,0.39,209.4,51,38,43,62,13,16,22,32,51,44,45,49,466,919.3,1261,680,901.6
272,GY0162_6_1 Grid 001x002,GY0162_6_1 Grid 001x002,41.62,20.1,17.74,0.3043,6.15,0.271,5.73,7.72,0.0169,0,0.0287,0.0057,99.6866,41.7508,20.1632,17.7958,0.3053,6.1693,0.2719,5.748,7.7443,0.017,0,0.0288,0.0057,100,6.026,4.339,3.028,0.0373,0.745,0.0295,0.888,0.883,0.0047,0,0.0035,0.0007,15.9847,42.9658,30.9319,10.7931,0.2661,5.3097,0.2104,6.3382,3.1506,0.0169,0,0.0125,0.0047,100,-22.2637,-18.6353,10.3325,38.2743,17.455,15.3605,0.2887,5.4646,0.2498,5.7867,6.992,0.0152,0,0.0225,0.005,89.9143,59.184,17.455,81.879,0.6971,6.073,0.2498,22.489,6.992,0.1307,0,0.0534,0.0109,195.2139,66.2,140236.7,138824.9,332104.3,-7.2,148344.9,5828.2,86.6,28.9,29051.8,1270.2,25061,776.4,1540.3,2477.4,4906.2,1738.4,2413.1,3737.7,221.6,1335.7,836.7,607.2,485.3,538.4,1047.2,1609.8,2944.3,1414.4,2156.1,3325.9,182.3,1218.4,730.5,497.7,365.9,129.452,107.513,90.655,77.46,119.878,107.618,88.071,197.121,115.503,134.809,146.289,159.323,152.5,34,0.16,0.16,0.11,100,0.16,1.17,15.47,105.21,0.36,2.32,0.39,259.51,50,38,43,62,14,16,22,32,52,45,46,49,469,916.7,1244.6,672.1,906.9
